Sample	input_read_pairs	surviving	surviving_pct	forward_only_surviving	forward_only_surviving_pct	reverse_only_surviving	reverse_only_surviving_pct	dropped	dropped_pct
D200HSC_S9_R1_001	7572243.0	7281287.0	96.16	206207.0	2.72	63751.0	0.84	20998.0	0.28
D202HSC_S33_R1_001	6634082.0	6393721.0	96.38	171723.0	2.59	49543.0	0.75	19095.0	0.29
D2206-1_S11_R1_001	4844412.0	4627807.0	95.53	158075.0	3.26	41437.0	0.86	17093.0	0.35
HSC_ATAC_D210_S11_R1_001	5335848.0	5049893.0	94.64	211503.0	3.96	51175.0	0.96	23277.0	0.44
HSC_ATAC_D211_S49_R1_001	8229456.0	7921163.0	96.25	204219.0	2.48	80329.0	0.98	23745.0	0.29
HSC_ATAC_D212_S37_R1_001	10132622.0	9715231.0	95.88	299757.0	2.96	85316.0	0.84	32318.0	0.32
HSC_ATAC_D213_S25_R1_001	9553278.0	9107554.0	95.33	331800.0	3.47	82222.0	0.86	31702.0	0.33
HSC_ATAC_D214_S13_R1_001	10811935.0	10398878.0	96.18	283290.0	2.62	100495.0	0.93	29272.0	0.27
HSC_ATAC_D215_S1_R1_001	6724740.0	6462602.0	96.1	180878.0	2.69	59652.0	0.89	21608.0	0.32
