Sample	fragment_size	treatment_fragments_total	treatment_fragments_after_filtering	treatment_max_duplicates	treatment_redundant_rate	d
D200HSC_S9	154.0	5736644.0	5736644.0	1.0	0.0	154.0
D202HSC_S33	172.0	4600664.0	4600664.0	1.0	0.0	172.0
D2206-1_S11	183.0	3502926.0	3502926.0	1.0	0.0	183.0
HSC_ATAC_D210_S11	211.0	4020726.0	4020726.0	1.0	0.0	211.0
HSC_ATAC_D211_S49	191.0	5408348.0	5408348.0	1.0	0.0	191.0
HSC_ATAC_D212_S37	213.0	7177657.0	7177657.0	1.0	0.0	213.0
HSC_ATAC_D213_S25	201.0	6763823.0	6763823.0	1.0	0.0	201.0
HSC_ATAC_D214_S13	183.0	6990430.0	6990430.0	1.0	0.0	183.0
HSC_ATAC_D215_S1	200.0	4672957.0	4672957.0	1.0	0.0	200.0
