Sample	fragment_size	treatment_fragments_total	treatment_fragments_after_filtering	treatment_max_duplicates	treatment_redundant_rate	d
D200proB_S11	166.0	5915254.0	5915254.0	1.0	0.0	166.0
D201proB_S23	170.0	8427948.0	8427948.0	1.0	0.0	170.0
D202proB_S35	169.0	8058104.0	8058104.0	1.0	0.0	169.0
D2206-3_S13	197.0	5581808.0	5581808.0	1.0	0.0	197.0
proB_ATAC_D210_S21	215.0	4974345.0	4974345.0	1.0	0.0	215.0
proB_ATAC_D211_S51	216.0	7824963.0	7824963.0	1.0	0.0	216.0
proB_ATAC_D212_S39	209.0	6929343.0	6929343.0	1.0	0.0	209.0
proB_ATAC_D213_S27	200.0	4743266.0	4743266.0	1.0	0.0	200.0
proB_ATAC_D214_S15	204.0	4081927.0	4081927.0	1.0	0.0	204.0
proB_ATAC_D215_S3	204.0	5629662.0	5629662.0	1.0	0.0	204.0
