Sample	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
D200inmature_S13	Unknown Library	0.0	9615644.0	0.0	1196018.0	0.0	1203547.0	2048.0	0.125166	35184661.0
D202inmature_S37	Unknown Library	0.0	10525595.0	0.0	535082.0	0.0	1417120.0	1314.0	0.134636	35522746.0
D2206-5_S15	Unknown Library	0.0	7121191.0	0.0	1513052.0	0.0	447350.0	1736.0	0.06282	54474038.0
ImmatureB_ATAC_D210_S12	Unknown Library	0.0	5741557.0	0.0	318078.0	0.0	585572.0	2634.0	0.101988	26302105.0
ImmatureB_ATAC_D211_S53	Unknown Library	0.0	9130083.0	0.0	1454484.0	0.0	960031.0	3482.0	0.10515	40440709.0
ImmatureB_ATAC_D212_S41	Unknown Library	0.0	7988678.0	0.0	1070706.0	0.0	570831.0	4122.0	0.071455	53554309.0
ImmatureB_ATAC_D213_S29	Unknown Library	0.0	4954843.0	0.0	1127418.0	0.0	339753.0	2119.0	0.06857	34655160.0
ImmatureB_ATAC_D214_S17	Unknown Library	0.0	4409378.0	0.0	463896.0	0.0	471958.0	1745.0	0.107035	19160967.0
