Sample	fragment_size	treatment_fragments_total	treatment_fragments_after_filtering	treatment_max_duplicates	treatment_redundant_rate	d
CLP_ATAC_D210_S7	211.0	5348000.0	5348000.0	1.0	0.0	211.0
CLP_ATAC_D211_S50	204.0	6119059.0	6119059.0	1.0	0.0	204.0
CLP_ATAC_D212_S38	206.0	5198550.0	5198550.0	1.0	0.0	206.0
CLP_ATAC_D213_S26	206.0	5179807.0	5179807.0	1.0	0.0	206.0
CLP_ATAC_D214_S14	198.0	4134989.0	4134989.0	1.0	0.0	198.0
CLP_ATAC_D215_S2	211.0	5556575.0	5556575.0	1.0	0.0	211.0
D201CLP_S22	172.0	5007212.0	5007212.0	1.0	0.0	172.0
D202CLP_S34	155.0	7419004.0	7419004.0	1.0	0.0	155.0
D2206-2_S12	199.0	3620876.0	3620876.0	1.0	0.0	199.0
